name,category,riskLevel,returnYtd,returnOneYear,returnThreeYear,aum,currency,isin,description,YTD,1Y,3Y,Risk
AB Low Volatility Equity Portfolio,Equity,Medium,1.2,8.5,22.4,3200.0,EUR,LU0861579265,Multi-asset low volatility equity fund targeting reduced drawdowns while participating in global equity upside.,1.84,-4.09,4.99,3.0
AB SICAV I - Eurozone Equity Portfolio,Equity,High,3.8,11.2,28.6,1850.0,EUR,LU0528102642,Active eurozone equity fund focusing on undervalued large and mid-cap companies across the euro area.,-2.95,0.53,3.4,4.0
AB SICAV I - American Growth Portfolio,Equity,High,-4.2,15.3,48.7,4200.0,USD,LU0232575059,US growth equity fund with concentrated positions in high-quality American companies with durable competitive advantages.,-1.3,8.75,1.94,4.0
AXA WF Framlington Next Generation,Equity,High,-2.8,12.4,35.2,2100.0,EUR,LU0868490383,Thematic fund investing in companies enabling the transition to a more sustainable and technologically advanced world.,2.75,13.73,4.92,4.0
Fidelity World Fund,Equity,High,-1.5,14.8,42.3,8900.0,EUR,LU0115769746,Actively managed global equity fund with diversified exposure to developed market companies across all sectors.,-1.99,7.25,7.8,5.0
BNP Paribas Disruptive Technology,Equity,High,-3.4,16.2,44.8,3600.0,EUR,LU0823422141,Thematic fund targeting companies leading disruption in technology healthcare and industrial innovation globally.,9.83,8.21,1.57,4.0
AXA WF Framlington Evolving Trends,Equity,High,-2.1,13.6,38.9,2800.0,EUR,LU0503938879,Multi-thematic equity fund investing in five long-term structural trends shaping the global economy.,-2.27,7.7,6.12,4.0
iShares STOXX Europe 600 UCITS ETF,Equity,High,5.2,8.4,24.1,9800.0,EUR,DE0002635307,Passive ETF tracking the STOXX Europe 600 index giving broad exposure to 600 large mid and small cap European companies.,3.76,6.65,0.6,4.0
iShares MSCI EM Asia UCITS ETF,Equity,High,1.8,6.3,15.4,4200.0,USD,IE00B5L8K969,Passive ETF tracking emerging market equities across Asia including China South Korea Taiwan India and Southeast Asia.,5.23,6.88,2.28,4.0
iShares STOXX Europe 600 EUR Acc,Equity,High,5.3,8.6,24.3,2100.0,EUR,DE000A2QP4B6,Accumulating share class ETF providing broad exposure to 600 European companies across 17 countries and all market caps.,0.59,9.35,2.01,5.0
iShares Core MSCI World UCITS ETF,Equity,High,-1.8,14.2,38.5,105452.0,USD,IE00B4L5Y983,World's largest MSCI World ETF tracking 1300+ large and mid-cap equities across 23 developed market countries.,7.08,10.91,4.26,3.0
iShares Core MSCI Japan IMI UCITS ETF,Equity,Medium,-3.2,4.8,18.6,3800.0,USD,IE00B4L5YX21,Broad Japanese equity ETF covering large mid and small cap companies providing comprehensive exposure to the Japanese market.,0.59,2.71,0.0,5.0
iShares NASDAQ 100 UCITS ETF,Equity,High,-8.4,18.6,62.3,12300.0,USD,IE00B53SZB19,ETF tracking the NASDAQ 100 index with heavy concentration in US technology and growth companies.,2.18,10.19,7.44,5.0
iShares Core S&P 500 UCITS ETF,Equity,High,-4.2,16.8,48.9,82000.0,USD,IE00B5BMR087,Low-cost ETF tracking the S&P 500 index offering exposure to 500 of the largest US companies by market capitalisation.,3.0,4.86,5.75,5.0
iShares MSCI World Small Cap UCITS ETF,Equity,High,-5.1,8.3,22.4,5600.0,USD,IE00BF4RFH31,ETF tracking small-cap equities across developed markets providing diversification beyond large-cap global indices.,4.24,-3.84,0.75,5.0
Xtrackers AI & Big Data UCITS ETF,Equity,High,-6.8,21.4,58.7,2100.0,USD,IE00BGV5VN51,Thematic ETF targeting companies driving artificial intelligence big data analytics and digital transformation globally.,1.63,14.89,2.37,3.0
iShares MSCI China UCITS ETF,Equity,High,2.4,3.8,8.2,3200.0,USD,IE00BJ5JPG56,ETF tracking Chinese equities including A-shares H-shares and red chips across all major sectors of the Chinese economy.,5.28,11.31,5.0,5.0
Nintendo Co Ltd,Equity,Medium,4.2,12.8,31.4,52000.0,JPY,JP3756600007,Japanese entertainment giant behind iconic gaming franchises including Mario Zelda and Pokemon with strong recurring revenue.,9.4,7.74,6.89,4.0
Xiaomi Corporation,Equity,High,8.4,32.6,68.2,42000.0,HKD,KYG9830T1067,Chinese technology company producing smartphones IoT devices and electric vehicles with aggressive global expansion strategy.,8.24,-4.81,0.46,4.0
Advanced Micro Devices Inc,Equity,High,-18.4,8.2,42.6,327892.0,USD,US0079031078,Semiconductor company competing with Intel in CPUs and NVIDIA in AI GPUs with growing data center market share.,6.26,9.7,2.56,3.0
Alphabet Inc Class A,Equity,High,-3.8,18.4,52.3,2050000.0,USD,US02079K3059,Google parent company with dominant search advertising and cloud businesses plus significant AI investments through DeepMind and Gemini.,4.45,-2.79,0.75,3.0
Amazon.com Inc,Equity,High,-6.2,14.8,48.4,2200000.0,USD,US0231351067,E-commerce and cloud computing giant with AWS as the world's leading cloud platform and expanding advertising and logistics businesses.,3.15,-2.65,3.76,5.0
Apple Inc,Equity,High,-5.4,12.6,44.8,3200000.0,USD,US0378331005,World's most valuable consumer technology company known for iPhone Mac and services ecosystem with 2 billion active devices.,3.22,5.19,3.56,5.0
Coca-Cola Company,Equity,Low,3.8,8.4,18.6,268000.0,USD,US1912161007,Defensive consumer staples giant with iconic global beverage brands consistent dividends and resilient earnings through economic cycles.,5.55,14.4,0.91,3.0
Meta Platforms Inc,Equity,High,-2.4,22.8,112.4,1500000.0,USD,US30303M1027,Social media conglomerate owning Facebook Instagram and WhatsApp with growing AI investments and metaverse development.,5.78,2.25,1.84,3.0
Intel Corporation,Equity,High,-14.2,-28.4,-42.6,94000.0,USD,US4581401001,Legacy semiconductor company undergoing major restructuring to regain manufacturing competitiveness against TSMC and NVIDIA in AI chips.,0.11,1.8,6.9,4.0
Microsoft Corporation,Equity,High,-18.0,8.4,62.4,2800000.0,USD,US5949181045,Enterprise software and cloud leader with Azure cloud platform Copilot AI integration and dominant Office 365 subscription business.,4.82,3.86,2.95,3.0
NVIDIA Corporation,Equity,High,-6.7,52.4,312.8,4081000.0,USD,US67066G1040,AI semiconductor leader with dominant GPU market share for data center training and inference powering the global AI infrastructure buildout.,0.69,9.13,0.77,3.0
Oracle Corporation,Equity,High,-8.2,14.6,82.4,468000.0,USD,US68389X1054,Enterprise software and cloud database company benefiting from AI-driven demand for its cloud infrastructure and autonomous database products.,5.62,5.86,6.27,4.0
Tesla Inc,Equity,High,-24.8,18.4,62.3,1200000.0,USD,US88160R1014,Electric vehicle pioneer expanding into energy storage robotaxi and humanoid robotics with Elon Musk leading aggressive long-term bets.,5.88,7.07,7.85,4.0
